Saida,Saida_Estimada,Erro
3,3,0,
4,3,1,
4,4,0,
6,4,2,
6,6,0,
8,6,2,
9,8,1,
9,9,0,
22,9,13,
28,26,2,
32,31,1,
36,34,2,
36,39,-3,
38,38,0,
42,40,2,
44,45,-1,
46,47,-1,
46,49,-3,
56,48,8,
62,61,1,
76,67,9,
80,83,-3,
82,85,-3,
88,87,1,
100,94,6,
116,108,8,
150,126,24,
182,167,15,
204,200,4,
246,221,25,
290,270,20,
316,317,-1,
372,340,32,
412,407,5,
434,446,-12,
512,464,48,
594,561,33,
662,649,13,
728,717,11,
828,787,41,
908,901,7,
1026,981,45,
1200,1115,85,
1330,1313,17,
1484,1440,44,
1568,1609,-41,
1750,1680,70,
1898,1897,1,
2102,2045,57,
2262,2275,-13,
2466,2434,32,
2556,2661,-105,
2664,2728,-64,
2886,2846,40,
3224,3110,114,
3568,3496,72,
3810,3862,-52,
4170,4093,77,
4504,4503,1,
4574,4850,-276,
4880,4859,21,
5274,5241,33,
5704,5680,24,
6148,6144,4,
6516,6618,-102,
0,7122,0,
0,7665,0,
0,8248,0,
0,8877,0,
0,9553,0,
0,10281,0,
0,11064,0,
