Saida,Saida_Estimada,Erro
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
1,1,0,
6,1,5,
9,6,3,
13,9,4,
13,13,0,
14,13,1,
19,14,5,
28,20,8,
45,29,16,
68,47,21,
77,72,5,
82,81,1,
92,86,6,
105,97,8,
176,111,65,
212,186,26,
242,224,18,
246,256,-10,
254,260,-6,
261,269,-8,
261,276,-15,
263,276,-13,
289,278,11,
302,306,-4,
339,320,19,
376,359,17,
399,398,1,
400,423,-23,
463,424,39,
516,491,25,
531,547,-16,
595,563,32,
608,631,-23,
646,644,2,
708,685,23,
754,750,4,
781,799,-18,
825,828,-3,
832,875,-43,
857,882,-25,
1086,908,178,
1177,1151,26,
1297,1248,49,
1366,1375,-9,
1392,1448,-56,
1421,1476,-55,
1536,1507,29,
1574,1629,-55,
1739,1669,70,
1821,1844,-23,
1919,1931,-12,
1928,2035,-107,
1989,2044,-55,
2033,2109,-76,
2367,2156,211,
2537,2510,27,
2786,2690,96,
3004,2954,50,
3137,3186,-49,
3184,3327,-143,
3483,3377,106,
3796,3694,102,
4060,4026,34,
4251,4306,-55,
4599,4508,91,
4697,4877,-180,
0,5172,0,
0,5486,0,
0,5818,0,
0,6171,0,
0,6545,0,
0,6942,0,
0,7363,0,
