Data,Saida_Estimada,Saida,Erro
2020-03-28,82,82,0
2020-03-29,85,103,18
2020-03-30,100,117,17
2020-03-31,117,132,15
2020-04-01,132,153,21
2020-04-02,152,167,15
2020-04-03,169,183,14
2020-04-04,185,215,30
2020-04-05,213,243,30
2020-04-06,244,257,13
2020-04-07,263,268,5
2020-04-08,275,290,15
2020-04-09,295,312,17
2020-04-10,318,341,23
2020-04-11,346,353,7
2020-04-12,364,362,-2
2020-04-13,374,388,14
2020-04-14,396,425,29
2020-04-15,430,519,89
2020-04-16,510,569,59
2020-04-17,576,642,66
2020-04-18,645,759,114
2020-04-19,752,762,10
2020-04-20,793,821,28
2020-04-21,836,922,86
2020-04-22,928,1034,106
2020-04-23,1041,1131,90
2020-04-24,1147,1218,71
2020-04-25,1241,1303,62
2020-04-26,1330,1357,27
2020-04-27,1397,1430,33
2020-04-28,1467,1578,111
2020-04-29,1596,1639,43
2020-04-30,1688,1784,96
2020-05-01,1812,1995,183
2020-05-02,2010,2100,90
2020-05-03,2155,2247,92
2020-05-04,2294,2370,76
2020-05-05,2430,2599,169
2020-05-06,2634,2746,112
2020-05-07,2814,2877,63
2020-05-08,2956,3129,173
2020-05-09,3179,3342,163
2020-05-10,3414,3670,256
2020-05-11,3718,3884,166
2020-05-12,3979,4107,128
2020-05-13,4209,4349,140
2020-05-14,4427.04,4619,191.96
2020-05-15,4726.94,4842,115.056
2020-05-16,5012.71,5267,254.286
2020-05-17,5315.35,5317,1.6533
2020-05-18,5625.36,5326,-299.358
2020-05-19,5946.19,7106,1159.81
2020-05-20,6277.16,7169,891.839
2020-05-21,6618.94,7578,959.063
2020-05-22,6971.76,7860,888.241
2020-05-23,7336.02,8084,747.98
2020-05-24,7712.08,8734,1021.92
2020-05-25,8100.32,8941,840.679
2020-05-26,8501.14,9227,725.86
2020-05-27,8914.94,9472,557.055
2020-05-28,9342.15,10006,663.845
2020-05-29,9783.2,10485,701.795
