Saida,Saida_Estimada,Erro
1,1,0,
2,1,1,
2,2,0,
8,2,6,
8,8,0,
10,8,2,
13,10,3,
28,13,15,
32,30,2,
46,34,12,
62,49,13,
106,66,40,
142,114,28,
162,152,10,
176,174,2,
192,189,3,
266,206,60,
344,286,58,
460,370,90,
546,495,51,
586,587,-1,
688,630,58,
796,740,56,
890,856,34,
956,958,-2,
1260,1029,231,
1390,1356,34,
1594,1496,98,
2080,1715,365,
2410,2238,172,
2640,2594,46,
2792,2841,-49,
3208,3005,203,
3514,3453,61,
3902,3782,120,
4210,4200,10,
4446,4531,-85,
4820,4785,35,
5056,5188,-132,
5608,5442,166,
6380,6036,344,
7012,6867,145,
7610,7547,63,
8080,8191,-111,
8454,8697,-243,
9060,9099,-39,
10056,9752,304,
10778,10824,-46,
11818,11601,217,
13530,12721,809,
15198,14563,635,
16288,16359,-71,
17052,17532,-480,
18224,18354,-130,
19602,19616,-14,
21478,21099,379,
23184,23119,65,
24984,24955,29,
26476,26893,-417,
28396,28499,-103,
30228,30565,-337,
32116,32537,-421,
34424,34569,-145,
37534,37054,480,
0,39885,0,
0,42932,0,
0,46213,0,
0,49744,0,
0,53545,0,
0,57637,0,
0,62041,0,
