Saida,Saida_Estimada,Erro
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
0,0,0,
3,0,3,
3,2,1,
8,3,5,
10,9,1,
10,10,0,
14,13,1,
17,15,2,
40,17,23,
44,42,2,
44,49,-5,
52,60,-8,
60,55,5,
72,61,11,
96,79,17,
112,103,9,
125,124,1,
141,144,-3,
150,155,-5,
191,163,28,
218,204,14,
240,231,9,
249,274,-25,
298,274,24,
356,317,39,
375,371,4,
404,421,-17,
439,452,-13,
471,462,9,
536,502,34,
577,570,7,
636,615,21,
686,694,-8,
780,731,49,
819,836,-17,
890,878,12,
964,972,-8,
1031,1014,17,
1252,1105,147,
1340,1322,18,
1424,1434,-10,
1590,1607,-17,
1696,1682,14,
1806,1801,5,
1932,1961,-29,
2124,2049,75,
2228,2245,-17,
2378,2376,2,
2560,2560,0,
2778,2690,88,
2826,2945,-119,
2952,3030,-78,
3228,3158,70,
3282,3326,-44,
3496,3465,31,
3712,3748,-36,
3800,3838,-38,
4322,4044,278,
4502,4536,-34,
0,4739,0,
0,5203,0,
0,5452,0,
0,5744,0,
0,6189,0,
0,6494,0,
0,6861,0,
