Saida,Saida_Estimada,Erro
1,1,0,
2,1,1,
2,1,1,
2,1,1,
2,0,2,
2,3,-1,
2,2,0,
2,2,0,
2,2,0,
2,2,0,
2,2,0,
3,2,1,
3,2,1,
30,2,28,
33,11,22,
41,9,32,
49,0,49,
63,59,4,
76,46,30,
84,61,23,
104,67,37,
115,92,23,
127,108,19,
154,110,44,
176,151,25,
213,159,54,
246,175,71,
267,221,46,
282,236,46,
332,290,42,
401,342,59,
431,373,58,
456,368,88,
497,442,55,
559,556,3,
604,576,28,
635,597,38,
673,647,26,
723,743,-20,
759,795,-36,
807,819,-12,
951,870,81,
1059,978,81,
1193,1013,180,
1230,1060,170,
1341,1287,54,
1489,1398,91,
1644,1631,13,
1789,1598,191,
1962,1776,186,
2081,1992,89,
2209,2178,31,
2354,2338,16,
2540,2593,-53,
2646,2716,-70,
2851,2857,-6,
3085,3058,27,
3267,3363,-96,
3495,3401,94,
3734,3725,9,
4040,4059,-19,
4301,4260,41,
4528,4569,-41,
4818,4837,-19,
5174,5291,-117,
5558,5623,-65,
5808,5884,-76,
6204,6232,-28,
6547,6740,-193,
6955,7275,-320,
8128,7466,662,
8314,8339,-25,
8443,8504,-61,
8581,8689,-108,
11013,10924,89,
11197,11232,-35,
11941,10970,971,
12557,10404,2153,
13000,15653,-2653,
13899,14065,-166,
0,15596,0,
0,16567,0,
0,16727,0,
0,18013,0,
0,20626,0,
0,22253,0,
0,21481,0,
